impl,head_label,num_q_heads,num_kv_heads,head_dim,num_requests,context_len,dtype_label,median_ms,p50_ms,p95_ms,min_ms,std_ms,op_call_ms,eff_gbps,note,gpu,torch
eager,mha,32,32,128,1,128,bf16,0.1032479964196682,0.1032319962978363,0.11209599673748016,0.09945599734783173,0.003617238443070339,0.0880957200024568,0.48101659811520825,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,1,128,bf16,0.031007999554276466,0.03097599931061268,0.036607999354600906,0.029600000008940697,0.0024491541151755425,0.02282555999045144,1.6016512098133913,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,1,128,fp16,0.10446399822831154,0.10444799810647964,0.11564800143241882,0.10073599964380264,0.014107989701661475,0.08930959998906474,0.47541737672587187,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,1,128,fp16,0.030592000111937523,0.030592000111937523,0.037567999213933945,0.028991999104619026,0.0038358782293075344,0.027628980005829362,1.6234309564028881,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,1,128,fp32,0.08563199639320374,0.08563199639320374,0.12671999633312225,0.08246400207281113,0.016487345374615534,0.07255864000399015,1.1539611846284437,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,1,128,fp32,0.030688000842928886,0.030688000842928886,0.06425599753856659,0.02924799919128418,0.01311306531597128,0.030003129995748168,3.220020766610776,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,1,2048,bf16,0.10414400324225426,0.10412800312042236,0.1480959951877594,0.09907200187444687,0.017371583904971764,0.08931149999625632,0.4768781538431381,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,1,2048,bf16,0.0313120000064373,0.03126399964094162,0.050624001771211624,0.029311999678611755,0.007024798755274744,0.024188719999074237,1.5861011749421878,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,1,2048,fp16,0.1048160009086132,0.10480000078678131,0.11481600254774094,0.10265599936246872,0.005303588225636424,0.0898162500016042,0.4738207866115877,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,1,2048,fp16,0.031088000163435936,0.031072000041604042,0.037728000432252884,0.029920000582933426,0.003979422103864982,0.023646700010431232,1.5975295850137115,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,1,2048,fp32,0.0844000019133091,0.0843840017914772,0.09798400104045868,0.08262400329113007,0.007035590596588816,0.07858436001697555,1.1708056606621668,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,1,2048,fp32,0.03136000037193298,0.03136000037193298,0.039135999977588654,0.027168000116944313,0.0037292712332456152,0.02371692999076913,3.1510203707918234,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,8,128,bf16,0.10193600133061409,0.1019200012087822,0.11206399649381638,0.09849599748849869,0.003573451931927339,0.0880003400015994,3.897661226786582,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,8,128,bf16,0.026815999299287796,0.026815999299287796,0.0318400003015995,0.02521600015461445,0.0022158124381362137,0.019721429998753592,14.816229504098779,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,8,128,fp16,0.10187200084328651,0.10185600072145462,0.11110399663448334,0.10019200295209885,0.0033307474628478553,0.08804511999187525,3.9001099096031284,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,8,128,fp16,0.02652799990028143,0.026496000587940216,0.030271999537944794,0.025151999667286873,0.0016553337256425109,0.018971219997183653,14.977080876564123,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,8,128,fp32,0.08345600217580795,0.08345600217580795,0.09062399715185165,0.08137600123882294,0.003255774933932782,0.07051381000565016,9.472392391079053,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,8,128,fp32,0.02635199949145317,0.026335999369621277,0.03174399957060814,0.024383999407291412,0.0020816805683020545,0.01907441001094412,29.99878624984015,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,8,2048,bf16,0.10259199887514114,0.10249599814414978,0.11126399785280228,0.09974399954080582,0.003808794581564181,0.08752694999202504,3.8727386575589167,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,8,2048,bf16,0.026528000831604004,0.026528000831604004,0.030592000111937523,0.025280000641942024,0.001998472431955775,0.01920295999298105,14.977080350761462,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,8,2048,fp16,0.10302400216460228,0.10294400155544281,0.11091200262308121,0.10051199793815613,0.004505385933602814,0.08853975001329673,3.8564993754097365,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,8,2048,fp16,0.02635199949145317,0.026335999369621277,0.029952000826597214,0.02518399991095066,0.001956449466866085,0.019103370013908716,15.077110187743497,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,8,2048,fp32,0.08188799768686295,0.08188799768686295,0.09071999788284302,0.08028800040483475,0.003558663497693699,0.06959567999729188,9.653771276994139,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,8,2048,fp32,0.026208000257611275,0.026208000257611275,0.02985600009560585,0.025119999423623085,0.0016449775151082034,0.019186829995305743,30.163613867121224,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,32,128,bf16,0.10363199934363365,0.10361599922180176,0.11196800321340561,0.10115200281143188,0.003362214126380518,0.08850678999806405,15.335494924981694,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,32,128,bf16,0.026528000831604004,0.026528000831604004,0.030112000182271004,0.024447999894618988,0.001887353021495282,0.019103369995718822,59.908321403045846,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,32,128,fp16,0.10302400216460228,0.10300800204277039,0.1117120012640953,0.10127999633550644,0.004267909526577639,0.08843796000292059,15.425997501638946,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,32,128,fp16,0.02675200067460537,0.02675200067460537,0.028543999418616295,0.025439999997615814,0.001659622338688543,0.01982934001716785,59.40669706653421,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,32,128,fp32,0.08267199993133545,0.08265600353479385,0.09151999652385712,0.08003199845552444,0.008996557027249111,0.06961310999031411,38.24888720033799,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,32,128,fp32,0.026544000022113323,0.026528000831604004,0.031072000041604042,0.024960000067949295,0.001965792654094021,0.01934923000590061,119.127184951993,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,32,2048,bf16,0.10049599781632423,0.10047999769449234,0.10851199924945831,0.0984639972448349,0.0033645600112000573,0.08678655998664908,15.814042693567325,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,32,2048,bf16,0.026480000466108322,0.026464000344276428,0.03248000144958496,0.024831999093294144,0.00262164041463108,0.0190399500024796,60.01691737256855,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,32,2048,fp16,0.10091200098395348,0.10089600086212158,0.1085439994931221,0.09839999675750732,0.003287689526675288,0.08707750999747077,15.748850330028777,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,32,2048,fp16,0.026783999986946583,0.02675200067460537,0.031936001032590866,0.02521600015461445,0.0022434976789688856,0.01896591000331682,59.33572284851157,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,32,2048,fp32,0.08171200007200241,0.08169600367546082,0.0907519981265068,0.07971200346946716,0.003318924767789862,0.06965349000893184,38.698257259810454,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,32,2048,fp32,0.02574400044977665,0.025728000327944756,0.02985600009560585,0.024480000138282776,0.0018982201125185224,0.01865483000074164,122.82908424309922,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,128,128,bf16,0.10400000214576721,0.10390400141477585,0.11088000237941742,0.09545599669218063,0.004282060593227211,0.08710635998795624,61.12492181577065,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,128,128,bf16,0.02638399973511696,0.026367999613285065,0.03097599931061268,0.02518399991095066,0.0017834656606524025,0.01993994999793358,240.9411788895252,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,128,128,fp16,0.10364799946546555,0.10364799946546555,0.1125440001487732,0.09347199648618698,0.0041707176017913156,0.08761662000324577,61.33251035026571,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,128,128,fp16,0.026559999212622643,0.026559999212622643,0.031328000128269196,0.021983999758958817,0.0020028798065992444,0.019207459990866482,239.34458540867874,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,128,128,fp32,0.08444800227880478,0.08432000130414963,0.09344000369310379,0.0753600001335144,0.004850608226938873,0.06955730999834486,149.77794215002498,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,128,128,fp32,0.026768000796437263,0.02675200067460537,0.03331200033426285,0.0226879995316267,0.0024405051356565064,0.019297140006528934,472.5212053073261,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,128,2048,bf16,0.10359999909996986,0.10355199873447418,0.11222399771213531,0.09536000341176987,0.004348930698870171,0.0865026300016325,61.36092717400274,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,128,2048,bf16,0.026623999699950218,0.026623999699950218,0.03062400035560131,0.02521600015461445,0.0018960824017155385,0.01879890000054729,238.76923346013584,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,mha,32,32,128,128,2048,fp16,0.10768000036478043,0.10768000036478043,0.11801599711179733,0.10067199915647507,0.004814602561032631,0.09359846000734251,59.03595819525295,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,mha,32,32,128,128,2048,fp16,0.028735999949276447,0.028704000636935234,0.03510399907827377,0.02643200010061264,0.0028639491891147566,0.019684660001075827,221.22049036821718,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
skipped,mha,32,32,128,128,2048,fp32,,,,,,,,cache 8.6GB > budget,,
eager,gqa,32,8,128,1,128,bf16,0.11097600311040878,0.11097600311040878,0.11772800236940384,0.10547199845314026,0.005011346129754208,0.0961169800029893,0.22606689101102542,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,1,128,bf16,0.0326399989426136,0.032607998698949814,0.038336001336574554,0.030688000842928886,0.003103299464771599,0.024934020002547186,0.7686274758803995,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,1,128,fp16,0.11084800213575363,0.11084800213575363,0.13340799510478973,0.10592000186443329,0.009011155329053597,0.14334715999211767,0.2263279402119955,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,1,128,fp16,0.05921600013971329,0.05920000001788139,0.07107199728488922,0.031231999397277832,0.01055468043134101,0.026287660002708435,0.42366927757376,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,1,128,fp32,0.09073599800467491,0.09065599739551544,0.0987199991941452,0.08822400122880936,0.005016586936322846,0.07760532000247622,0.547346159100396,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,1,128,fp32,0.033344000577926636,0.033344000577926636,0.04012800008058548,0.031328000128269196,0.003773815086392209,0.026060139989567688,1.4894433523035935,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,1,2048,bf16,0.1109280027449131,0.11088000237941742,0.11945600062608719,0.10780800133943558,0.006004165221279948,0.09734178000144311,0.22616471386122092,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,1,2048,bf16,0.031888000667095184,0.0318400003015995,0.04934399947524071,0.030208000913262367,0.007234595887796954,0.024596879993623588,0.7867536212732201,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,1,2048,fp16,0.11395200341939926,0.11395200341939926,0.12742400169372559,0.10963200032711029,0.009319710136247192,0.10201826000411529,0.2201628689902349,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,1,2048,fp16,0.03417599946260452,0.03417599946260452,0.03948799893260002,0.03145600110292435,0.0034092062139492625,0.02520463000109885,0.7340824085467161,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,1,2048,fp32,0.0918239988386631,0.09180799871683121,0.1013759970664978,0.08755200356245041,0.004741416301438309,0.076871340006619,0.5408607839793691,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,1,2048,fp32,0.03367999941110611,0.033663999289274216,0.0379519984126091,0.03062400035560131,0.003716202945231448,0.024635059999127407,1.4745843488234474,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,8,128,bf16,0.11132799834012985,0.11132799834012985,0.12031999975442886,0.10732799768447876,0.004880352737666135,0.0967986599971482,1.8028169282879598,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,8,128,bf16,0.03359999880194664,0.03359999880194664,0.03951999917626381,0.031808000057935715,0.004821514299515987,0.024445700000796933,5.973333546320604,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,8,128,fp16,0.11123199760913849,0.1111999973654747,0.13846400380134583,0.10745599865913391,0.010526783083014229,0.09763993000888149,1.8043728811313802,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,8,128,fp16,0.03376000002026558,0.03376000002026558,0.04387199878692627,0.02630399912595749,0.00445110766640003,0.025384470009157667,5.945023693113764,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,8,128,fp32,0.08967999741435051,0.08966399729251862,0.10611200332641602,0.08643200248479843,0.006137247711786558,0.07711289999861037,4.4303301901793155,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,8,128,fp32,0.0329120010137558,0.032896000891923904,0.041280001401901245,0.030527999624609947,0.003885321533917363,0.024322069984918926,12.071949069093087,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,8,2048,bf16,0.1090560033917427,0.10902400314807892,0.11727999895811081,0.10572800040245056,0.004801277887476436,0.09491762999459752,1.840375529617075,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,8,2048,bf16,0.03372799977660179,0.03372799977660179,0.039583999663591385,0.030719999223947525,0.003504437013148907,0.02431725999485934,5.9506641760367565,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,8,2048,fp16,0.10904000326991081,0.10902400314807892,0.13046400249004364,0.10198400169610977,0.007947269584667857,0.0980713499848207,1.8406455794318883,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,8,2048,fp16,0.033440001308918,0.033440001308918,0.04320000112056732,0.03097599931061268,0.004428277119575574,0.02520001999073429,6.001913640669474,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,8,2048,fp32,0.08934400230646133,0.08931200206279755,0.10134399682283401,0.0867839977145195,0.004721551180961334,0.07628774001204874,4.446991289210093,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,8,2048,fp32,0.03286400064826012,0.03286400064826012,0.03961599990725517,0.03094400092959404,0.0035002904272050696,0.025077990012505325,12.089581066297676,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,32,128,bf16,0.10803200304508209,0.10803200304508209,0.11603199690580368,0.10096000134944916,0.005644470303063821,0.09596780000720173,7.431279411388702,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
