head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,impl,spread,tensor_mode,position_sets,fresh_args,distinct_slots_per_request,device_median_ms,device_min_ms,amortized_call_ms,device_median_ratio,amortized_call_ratio
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,1,shared,8,False,1,0.076688002794981,0.07286400347948074,0.06381739513017237,1.0,1.0
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,1,shared,8,False,1,0.03782400116324425,0.030751999467611313,0.030058699194341898,1.0,1.0
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,1,shared,8,False,1,0.010688000358641148,0.006527999881654978,0.006197334732860327,1.0,1.0
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,1,distinct,8,False,1,0.07486400008201599,0.07315199822187424,0.06395671050995588,0.9762152794897876,1.0021830314367945
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,1,distinct,8,False,1,0.03001599945127964,0.028704000636935234,0.023051289608702064,0.7935701810533972,0.7668758205292239
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,1,distinct,8,False,1,0.01065600011497736,0.006527999881654978,0.005941904382780194,0.9970059653265341,0.958783838361069
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,2,distinct,8,False,2,0.07526399940252304,0.07366400212049484,0.06366035435348749,0.9814312103515733,0.9975392167548589
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,2,distinct,8,False,2,0.029343999922275543,0.025887999683618546,0.02251538564451039,0.7758036965901638,0.7490472391682397
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,2,distinct,8,False,2,0.010751999914646149,0.007519999984651804,0.005942910211160779,1.0059879822097177,0.9589461385149161
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,8,distinct,8,False,8,0.07516799867153168,0.07311999797821045,0.0644126150291413,0.9801793752862109,1.0093269225068624
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,8,distinct,8,False,8,0.03001599945127964,0.025439999997615814,0.023561795242130756,0.7935701810533972,0.783859444142743
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,8,distinct,8,False,8,0.01065600011497736,0.005504000000655651,0.0059095502365380526,0.9970059653265341,0.9535631834123232
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,64,distinct,8,False,8,0.07487999647855759,0.07276800274848938,0.06322483532130718,0.9764238700901239,0.9907147603305257
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,64,distinct,8,False,8,0.029664000496268272,0.028575999662280083,0.023107494926080108,0.7842639483919667,0.7687456724817203
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,64,distinct,8,False,8,0.010607999749481678,0.006560000125318766,0.006036735139787197,0.9925149133163352,0.9740856997409585
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,512,distinct,8,False,8,0.07443200051784515,0.07017599791288376,0.06353681907057762,0.9705820702728811,0.9956034548413886
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,512,distinct,8,False,8,0.0302559994161129,0.026464000344276428,0.022610260639339685,0.7999153575934846,0.7522035632066117
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,512,distinct,8,False,8,0.01065600011497736,0.0063680000603199005,0.006868699565529823,0.9970059653265341,1.1083312200500801
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,2048,distinct,8,False,8,0.07420799881219864,0.06531199812889099,0.0639003049582243,0.9676611217870356,1.0012991728647465
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,2048,distinct,8,False,8,0.02953599952161312,0.02831999957561493,0.02273599966429174,0.7808798279732221,0.7563866791870838
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,2048,distinct,8,False,8,0.010623999871313572,0.007615999784320593,0.005911350017413497,0.9940119306530681,0.9538535954931652
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,1,shared,8,False,1,0.08991999924182892,0.08560000360012054,0.07744053495116532,1.0,1.0
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,1,shared,8,False,1,0.029968000017106533,0.026784000918269157,0.02279856475070119,1.0,1.0
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,1,shared,8,False,1,0.010591999627649784,0.00684799998998642,0.00590198440477252,1.0,1.0
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,1,distinct,8,False,1,0.09016000106930733,0.07958400249481201,0.07813714444637299,1.0026690594917929,1.0089954117136066
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,1,distinct,8,False,1,0.029743999242782593,0.027648000046610832,0.023074130294844508,0.9925253345503179,1.0120869689454834
