model_id,batch,ctx,dtype_label,mode,rung,description,numerically_valid,layer_types_forced,max_cache_len,amortized_step_ms,synchronized_step_ms,error,unique_graphs,calls_captured,cudagraph_manager,peak_mem_gb,saving_vs_full_pct,per_layer_us
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_compile,full,unmodified decode step,True,True,604,72.43125334692498,72.97312351875007,,1,2123,False,17.998794752,0.0,2263.4766670914055
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_compile,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,604,70.11239713989198,70.35115757025778,,1,1451,False,17.998794752,3.201458072147856,2191.0124106216244
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_compile,rope_removed,"RoPE skipped, cache write kept",False,True,604,72.1999722191443,72.74566451087594,,1,1611,False,17.998794752,0.319311232504711,2256.2491318482594
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_compile,append_removed,"cache write skipped, RoPE kept",False,True,604,70.17629113358755,70.4903225414455,,1,1963,False,17.998794752,3.113244779207116,2193.009097924611
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_compile,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,604,72.74645461390415,73.3949396526441,,1,2795,False,17.998794752,-0.4351730122209113,2273.3267066845046
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_compile,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,604,89.44860493919501,90.1152869919315,,1,2699,False,19.84622848,-23.494487263338918,2795.268904349844
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_static_graph,full,unmodified decode step,True,True,604,71.16973827903469,71.73606392461807,,1,2123,True,17.998794752,0.0,2224.054321219834
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_static_graph,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,604,69.4394294389834,69.62476146873087,,1,1451,True,17.998794752,2.4312423817933455,2169.982169968231
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_static_graph,rope_removed,"RoPE skipped, cache write kept",False,True,604,71.1449928721413,71.65797788184136,,1,1611,True,17.998794752,0.03476956286725198,2223.2810272544157
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_static_graph,append_removed,"cache write skipped, RoPE kept",False,True,604,69.53998202613245,69.75967658217996,,1,1963,True,17.998794752,2.2899567882524257,2173.124438316639
