impl,head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,seed,validation,validation_detail,validation_cases,device_median_ms,device_p95_ms,device_min_ms,device_std_ms,amortized_call_ms,synchronized_call_ms,logical_read_bytes,logical_write_bytes,logical_total_bytes,logical_eff_gbps,pct_of_empirical_bw,pct_of_scattered_write_bw
compile,mha,32,32,128,1,128,bf16,uniform,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.03081599995493889,0.03667199984192848,0.029055999591946602,0.002601453887529014,0.022980569628998637,0.028368085622787476,25088,24576,49664,1.611630324267324,0.29149365700674024,0.44172530638487123
graph_eager,mha,32,32,128,1,128,bf16,uniform,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.03169599920511246,0.032607998698949814,0.030592000111937523,0.0008433359483249807,0.030986409401521083,0.035822042264044285,25088,24576,49664,1.566885450703487,0.2834007050244942,0.4294613630434454
graph_compile,mha,32,32,128,1,128,bf16,uniform,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.010847999714314938,0.012703999876976013,0.00684799998998642,0.0013710321126948523,0.005983440205454826,0.011230993550270796,25088,24576,49664,4.578171212012826,0.8280483736860003,1.2548126272246296
eager,mha,32,32,128,1,128,bf16,ragged,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.09081599861383438,0.09920000284910202,0.088128000497818,0.0037426977735678492,0.08001732057891786,0.08749950211495161,25088,24576,49664,0.546863997071486,0.09891063973629324,0.14988776459457392
compile,mha,32,32,128,1,128,bf16,ragged,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.04372800141572952,0.0644799992442131,0.032255999743938446,0.01178003455672958,0.029207170009613037,0.03949500387534499,25088,24576,49664,1.1357482252123972,0.20542142861241072,0.31129268617236805
graph_eager,mha,32,32,128,1,128,bf16,ragged,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.03167999908328056,0.033535998314619064,0.030592000111937523,0.0009216198151986096,0.03080065944232047,0.03567704698070884,25088,24576,49664,1.567676813040398,0.28354383778771547,0.42967826437960777
graph_compile,mha,32,32,128,1,128,bf16,ragged,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.010879999957978725,0.012480000033974648,0.0077760000713169575,0.0012577530357314524,0.005992059595882893,0.012163014616817236,25088,24576,49664,4.564705899982974,0.8256129187387855,1.2511219737339427
eager,mha,32,32,128,1,128,bf16,ragged,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.09084799885749817,0.11135999858379364,0.08895999938249588,0.0077569417344078555,0.0785565807018429,0.0885864719748497,25088,24576,49664,0.5466713700309642,0.09887579951292774,0.14983496821986486
compile,mha,32,32,128,1,128,bf16,ragged,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.04342399910092354,0.05209600180387497,0.03267199918627739,0.007299134058629953,0.02920255996286869,0.037505466025322676,25088,24576,49664,1.1436993604521275,0.2068595409719792,0.31347198101250096
graph_eager,mha,32,32,128,1,128,bf16,ragged,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.03167999908328056,0.03244800120592117,0.030527999624609947,0.0006500094409814333,0.030637149466201663,0.03575696609914303,25088,24576,49664,1.567676813040398,0.28354383778771547,0.42967826437960777
