head_label,num_q_heads,num_kv_heads,head_dim,num_requests,ctx,dtype_label,arm,rung_index,is_baseline_rung,cache_read_bytes,gqa_path,device_median_ms,amortized_call_ms,read_gbps,error,vs_head_major,ordering_drift,unit_key,run_segment
mha,32,32,128,1,128,bf16,head_major,0,True,2097152,none,0.014448000118136406,0.008301589405164123,252.62054019383766,,1.0,0.9983714791633332,mha_b1_ctx128_bf16,0
mha,32,32,128,1,128,bf16,token_major_view,1,False,2097152,none,0.01462399959564209,0.008310920093208551,252.33692256453452,,1.0011239640494174,0.9983714791633332,mha_b1_ctx128_bf16,0
mha,32,32,128,1,128,bf16,token_major_copy,2,False,2097152,none,0.022943999618291855,0.0166630104649812,125.85672945518169,,2.007207252940712,0.9983714791633332,mha_b1_ctx128_bf16,0
mha,32,32,128,1,128,bf16,read_floor,3,False,2097152,n/a,0.01462399959564209,0.012626620009541512,166.08973727056434,,1.5209882581866723,0.9983714791633332,mha_b1_ctx128_bf16,0
mha,32,32,128,1,128,bf16,head_major,4,True,2097152,none,0.01462399959564209,0.00828807009384036,253.0326090700644,,0.9983714791633332,0.9983714791633332,mha_b1_ctx128_bf16,0
mha,32,32,128,1,512,bf16,head_major,0,True,8388608,none,0.01708799973130226,0.0145916105248034,574.892537444082,,1.0,0.9988122799103692,mha_b1_ctx512_bf16,0
mha,32,32,128,1,512,bf16,token_major_view,1,False,8388608,none,0.01708799973130226,0.014493230264633894,578.7949164424526,,0.9932577517743997,0.9988122799103692,mha_b1_ctx512_bf16,0
mha,32,32,128,1,512,bf16,token_major_copy,2,False,8388608,none,0.03534400090575218,0.03491288982331753,240.27251947495446,,2.3926687026062825,0.9988122799103692,mha_b1_ctx512_bf16,0
mha,32,32,128,1,512,bf16,read_floor,3,False,8388608,n/a,0.01664000004529953,0.01528350985608995,548.8665940603578,,1.0474176123403536,0.9988122799103692,mha_b1_ctx512_bf16,0
mha,32,32,128,1,512,bf16,head_major,4,True,8388608,none,0.018112000077962875,0.014574279775843024,575.5761608133926,,0.9988122799103692,0.9988122799103692,mha_b1_ctx512_bf16,0
mha,32,32,128,1,2048,bf16,head_major,0,True,33554432,none,0.02956799976527691,0.028917930321767926,1160.3331091347832,,1.0,1.0012158461932423,mha_b1_ctx2048_bf16,0
mha,32,32,128,1,2048,bf16,token_major_view,1,False,33554432,none,0.02956799976527691,0.02905548084527254,1154.840017230672,,1.004756582576073,1.0012158461932423,mha_b1_ctx2048_bf16,0
mha,32,32,128,1,2048,bf16,token_major_copy,2,False,33554432,none,0.16303999722003937,0.16261006938293576,206.3490417741694,,5.623157244435688,1.0012158461932423,mha_b1_ctx2048_bf16,0
mha,32,32,128,1,2048,bf16,read_floor,3,False,33554432,n/a,0.0220959996804595,0.021663489751517773,1548.8932016435224,,0.7491369372036496,1.0012158461932423,mha_b1_ctx2048_bf16,0
mha,32,32,128,1,2048,bf16,head_major,4,True,33554432,none,0.02956799976527691,0.028953090077266097,1158.9240357576502,,1.0012158461932423,1.0012158461932423,mha_b1_ctx2048_bf16,0
mha,32,32,128,1,8192,bf16,head_major,0,True,134217728,none,0.22908800095319748,0.22891022032126784,586.3334883502794,,1.0,0.999549606229151,mha_b1_ctx8192_bf16,0
mha,32,32,128,1,8192,bf16,token_major_view,1,False,134217728,none,0.23020799458026886,0.2297087199985981,584.2953110392115,,1.0034882657323452,0.999549606229151,mha_b1_ctx8192_bf16,0
mha,32,32,128,1,8192,bf16,token_major_copy,2,False,134217728,none,0.6903679966926575,0.7020906999241561,191.16864532531048,,3.067100712841896,0.999549606229151,mha_b1_ctx8192_bf16,0
mha,32,32,128,1,8192,bf16,read_floor,3,False,134217728,n/a,0.2322399988770485,0.23184883990325034,578.9018744109678,,1.012837432849692,0.999549606229151,mha_b1_ctx8192_bf16,0
mha,32,32,128,1,8192,bf16,head_major,4,True,134217728,none,0.22910399734973907,0.22880712058395147,586.597688295082,,0.999549606229151,0.999549606229151,mha_b1_ctx8192_bf16,0
mha,32,32,128,32,128,bf16,head_major,0,True,67108864,none,0.12460800260305405,0.12475245050154625,537.9362387688586,,1.0,1.0027401435509433,mha_b32_ctx128_bf16,0
mha,32,32,128,32,128,bf16,token_major_view,1,False,67108864,none,0.12836799770593643,0.12760029989294708,525.9302999781535,,1.0228280036179773,1.0027401435509433,mha_b32_ctx128_bf16,0
mha,32,32,128,32,128,bf16,token_major_copy,2,False,67108864,none,0.36608000099658966,0.3686558303888887,182.03662730413896,,2.9550989091338082,1.0027401435509433,mha_b32_ctx128_bf16,0
mha,32,32,128,32,128,bf16,read_floor,3,False,67108864,n/a,0.12166400253772736,0.12123594991862774,553.5393094626037,,0.9718121722757268,1.0027401435509433,mha_b32_ctx128_bf16,0
mha,32,32,128,32,128,bf16,head_major,4,True,67108864,none,0.12464000284671783,0.12509429012425244,536.4662442493799,,1.0027401435509433,1.0027401435509433,mha_b32_ctx128_bf16,0
mha,32,32,128,32,512,bf16,head_major,0,True,268435456,none,0.44912000000476837,0.45617234078235924,588.4518459396711,,1.0,1.0095316141082356,mha_b32_ctx512_bf16,0
mha,32,32,128,32,512,bf16,token_major_view,1,False,268435456,none,0.4625279903411865,0.470447150291875,570.5964120166466,,1.0312925800916244,1.0095316141082356,mha_b32_ctx512_bf16,0
mha,32,32,128,32,512,bf16,token_major_copy,2,False,268435456,none,1.5072479844093323,1.5171645395457745,176.9323293572147,,3.3258582423997005,1.0095316141082356,mha_b32_ctx512_bf16,0
mha,32,32,128,32,512,bf16,read_floor,3,False,268435456,n/a,0.4472639858722687,0.44708256027661264,600.4158512331982,,0.9800738017343245,1.0095316141082356,mha_b32_ctx512_bf16,0
mha,32,32,128,32,512,bf16,head_major,4,True,268435456,none,0.45020800828933716,0.4605203995015472,582.8959070880379,,1.0095316141082356,1.0095316141082356,mha_b32_ctx512_bf16,0
mha,32,32,128,32,2048,bf16,head_major,0,True,1073741824,none,1.8172000050544739,1.827052979497239,587.6905793369319,,1.0,1.0111248990275308,mha_b32_ctx2048_bf16,0
